PlaceNumber,Class,PlaceName,LineNumber,Station,Address,Telephone,Image,Website,OpeningHours,Fee,Closed,PayFree,lat,lng
17,기타,가락몰 쿠킹스튜디오,"3호선, 8호선",가락시장역,서울 송파구 양재대로 932,02-3435-0223,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ATH_SPC_000000000000000000101300&thumb=Y,http://www.splib.or.kr/cookingClass.do?LIBCODE=SPA,,,프로그램에 따라 운영,,37.49315,127.11236
18,미술관,가람화랑,3호선,안국역,서울 종로구 관훈동 30-10,02-732-6170,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ATH_SPC_000000000000000000100337&thumb=Y,http://www.garamgallery.co.kr/,오전 10:00 ~ 오후 6:00,없음,월요일 및 공휴일 (기획?초대전의 전시기간 중 휴무없음),무료,37.57459,126.98427
19,박물관/기념관,가톨릭대학교 전례박물관,4호선,한성대입구역,서울 종로구 혜화동 90-1,02-740-9708,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ATH_SPC_000000000000000000100496&thumb=Y,http://museum.catholic.ac.kr,월~금 10:00~12:3014:00~17:00,무료,일요일국정 공휴일,무료,37.58581,127.00482
20,박물관/기념관,가회민화박물관,3호선,안국역,서울 종로구 북촌로 52,02-741-0466,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ATH_SPC_000000000000000000101133&thumb=Y,www.gahoemuseum.org,,,월요일,,37.58145,126.98524
21,미술관,간송미술관,4호선,한성대입구역,서울 성북구 성북동 성북로 102-11,02-762-0442,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ATH_SPC_000000000000000000100228&thumb=Y,http://www.seongbuk.go.kr/site/tu/detail.do?sitecdv=S0000700&menucdv=02030100&decorator=user07Tu&callValue=E0342002&contseqn=159,10:00 ~ 18:00,무료,매년 5월과 10월 전시회기간(각 15일)을 제외하고는 휴관한다,무료,37.59454,126.99662
22,공연장,갈갈이홀,4호선,혜화역,서울 종로구 동숭동 1-100,02-741-1011,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ATH_SPC_000000000000000000100379&thumb=Y,http://www.ggfamily.co.kr,,,수요일,유료,37.58099,127.0035
23,문화예술회관,갈산문화예술센터,2호선,양천구청역,서울 양천구 신정동 1325-3,,,,,,,,37.51064,126.87019
24,기타,강남구민체육관,3호선,매봉역,서울 강남구 개포동 1271,02-2176-0870~1,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ATH_SPC_000000000000000000100837&thumb=Y,http://cna.kncity.or.kr/center/findcenterall.aspx?center=100019,,,,무료,37.47715,127.05189
25,문화예술회관,강남구민회관,3호선,대치역,서울 강남구 대치동 509-2,02-2176-0891,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ATH_SPC_000000000000000000100870&thumb=Y,http://cna.kncity.or.kr/center/findcenterall.aspx?center=100014,,,,무료,37.49389,127.06426
26,공연장,강남구민회관강당,3호선,대치역,서울 강남구 대치동 509-2,02-3430-1150~3,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ATH_SPC_000000000000000000100013&thumb=Y,,,,,유료,37.49389,127.06426
27,문화예술회관,강남문화재단,"7호선, 수인분당선",강남구청역,서울 강남구 선릉로 668 5층,02-6712-0523,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=8e190c58d1594fc8985ca4cc857f10aa&thumb=Y,http://www.gfac.kr,,0,토 일 공휴일,무료,37.51646,127.04209
28,기타,강남스포츠문화센터,"3호선, 수인분당선",수서역,서울 강남구 수서동 718,02-2176-0831,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ATH_SPC_000000000000000000100838&thumb=Y,http://cna.kncity.or.kr/center/findcenterall.aspx?center=100018,,,,무료,37.48910,127.10527
29,공연장,강남씨어터,"2호선, 신분당선",강남역,서울 강남구 역삼로7길 16 3층,02-6712-0535,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=dc84839d6e204285b3dd45cd80bf3f12&thumb=Y,http://www.gfac.kr,,대관 유료/공연별 관람료 상이,홈페이지 참조,유료,37.49527,127.03323
30,문화예술회관,강남힐링센터,9호선,봉은사역,서울 강남구 테헤란로87길 46,02-6712-0651,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=fc4325c266a84d56b6fbabc2fc3e1b8d&thumb=Y,http://www.gfac.kr,,0,일요일,무료,,
31,공연장,강동아트센터,5호선,고덕역,서울 강동구 상일동 (동남로) 870,02-440-0500,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ATH_SPC_000000000000000000100888&thumb=Y,http://www.gangdongarts.or.kr,공연에 따라 다름 (홈페이지 참조 바랍니다),공연에 따라 다름 (홈페이지 참조 바랍니다),매주 월요일,유료,37.55119,127.1574
32,공연장,강동어린이회관아이누리홀,8호선,강동구청역,서울 강동구 성내동 556-1,02-486-3516~8,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ATH_SPC_000000000000000000100069&thumb=Y,http://www.gdkids.or.kr/04i-nury/info.html,,어린이 뮤지컬 이용요금 - 단체: 4000원 | 개인: 7000원,,유료,,
33,유적지,서울 태릉과 강릉,경춘선선,갈매역,서울 노원구 화랑로 727,,,,,,,,37.63642165,127.0978695
34,문화예술회관,강북문화예술회관,우이신설경전철,가오리역,서울 강북구 수유동 360-10,02-944-3000,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ATH_SPC_000000000000000000100856&thumb=Y,http://samgaksan.gangbukcmc.seoul.kr/sam/group01/page01.php,공연에 따라 다름,,매주 둘째 넷째 일요일,유료,37.64080,127.013152
35,기타,강북웰빙스포츠센터,4호선,수유역,서울 강북구 번동 318,02-944-2900,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ATH_SPC_000000000000000000100773&thumb=Y,www.gangbukcmc.seoul.kr/group02/page03.php,행사에 따라 다름,,법정 국.공휴일/매월 13주 일요일,유료,,
36,문화예술회관,강서구민회관,5호선,발산역,서울 강서구 내발산동 19-1,02-3664-6046,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ATH_SPC_000000000000000000100081&thumb=Y,http://www.gssi.or.kr/gpmc/main/contents.do?menuNo=200103,,,,유료,,
37,기타,개운산스포츠센터,우이신설경전철,성신여대입구역,서울 성북구 북악산로 949-60,02-925-9960~2,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ATH_SPC_000000000000000000100767&thumb=Y,http://www.gongdan.go.kr,,,,유료,,
38,문화예술회관,개포디지털혁신파크 열림관,수인분당선,개포동역,서울 강남구 개포동 153-153,02-570-4631,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ATH_SPC_000000000000000000100904&thumb=Y,http://sdf.seoul.kr/,,,토 일,,,
39,미술관,갤러리 JJ,7호선,학동역,서울 강남구 논현로 745,02-322-3979,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ATH_SPC_000000000000000000101459&thumb=Y,https://www.galleryjj.org,,,공휴일 및 일요일 월요일,,37.51829385,127.0284359
40,미술관,갤러리 가이아,3호선,안국역,서울 종로구 관훈동 145,02-733-3373,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ATH_SPC_000000000000000000100338&thumb=Y,http://www.galerie-gaia.net/,10:00~19:00,,연중무휴,유료,37.57507787,126.9834618
41,미술관,갤러리 구루지,"2호선, 7호선",대림역,서울 구로구 가마산로25길 21,02-2029-7151,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=baa5825dbd88444f83dec7f322053f8b&thumb=Y,https://www.guroartsvalley.or.kr/user/home.do,,0,전시에 따라 상이,무료,,
42,미술관,갤러리 도올,3호선,안국역,서울 종로구 팔판동 27-6,02-739-1405~6,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ATH_SPC_000000000000000000100479&thumb=Y,http://www.gallerydoll.com/,평일 10:30 ~ 18:30 휴일 11:30 ~ 18:30,무료,무휴(전시기간중),무료,,
43,미술관,갤러리 라메르,1호선,종각역,서울 종로구 인사동 194 5길 26,02-730-5454,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ATH_SPC_000000000000000000100468&thumb=Y,http://www.gallerylamer.com/,10:00~18:30,,연중무휴,유료,37.57261141,126.984888
44,미술관,갤러리 룩스,3호선,경복궁역,서울 종로구 관훈동 185,02-720-8488,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ATH_SPC_000000000000000000100339&thumb=Y,http://www.gallerylux.net/,10:00 ~ 19:00공휴일 11:00 ~ 19:00,,연중무휴,유료,,
45,미술관,갤러리 비선재,경의선,한남역,서울 용산구 유엔빌리지3길 54-14,02-793-5445,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ATH_SPC_000000000000000000101120&thumb=Y,http://bisunjae.com/contact,,,,,,
46,미술관,갤러리 세줄,3호선,경복궁역,서울 종로구 평창동 464-13,02-391-9171,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ATH_SPC_000000000000000000100483&thumb=Y,http://www.sejul.com,전시중 휴일 없음,무료(특별전시는 유료),,무료,,
47,미술관,갤러리 아트사이드,3호선,경복궁역,서울 종로구 관훈동 170,02-725-1020,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ATH_SPC_000000000000000000100341&thumb=Y,http://www.artside.org/,10:00 ~ 18:00,무료,연중무휴(명절제외),무료,,
48,미술관,갤러리 원,수인분당선,압구정로데오역,서울 강남구 청담동 101-5,02-514-3439,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ATH_SPC_000000000000000000100057&thumb=Y,http://www.wongallery.co.kr/,월~금 10:00~18:00토요일 10:00~17:30,,일요일 공휴일(전시중 무휴),유료,,
49,미술관,갤러리 인,경의선,가좌역,서울 종로구 팔판동 141,02-732-4677~8,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ATH_SPC_000000000000000000100480&thumb=Y,http://www.galleryihn.com/,10:30 ~ 18:30(월~토) 10:30 ~ 18:00 (일),무료,전시기간 중 무휴,무료,,
50,미술관,갤러리 조은,6호선,한강진역,서울 용산구 유엔빌리지길 28,02-790-5889,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ATH_SPC_000000000000000000101113&thumb=Y,http://www.galleryjoeun.com/about/,,,일요일 공휴일,,,
51,미술관,갤러리 현대,3호선,안국역,서울 종로구 사간동 122,02-734-6111~3,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ATH_SPC_000000000000000000100421&thumb=Y,http://www.galleryhyundai.com/,화요일~토요일 : 10:00 ~ 18:00일요일공휴일 : 10:00 ~ 17:00,무료(특별전시는 유료),매주 월요일,무료,37.5772269,126.9799191
52,공연/전시장,히든플레이스,2호선,이대역,서울 서대문구 대현동 53-9,010-7601-7755,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=8e85fb7c5a11414bb62c35a2cb723472&thumb=Y,https://www.instagram.com/hiddenplace.kr,,0,월요일 및 국정 공휴일,무료,37.55843,126.94625
53,미술관,갤러리BK,6호선,한강진역,서울 용산구 이태원로42길 56,02-790-7079,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ATH_SPC_000000000000000000101100&thumb=Y,http://www.gallerybk.co.kr/,,,,,37.53694,127.00129
54,미술관,갤러리미즈,3호선,안국역,서울 종로구 관훈동 37,02-722-8005,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ATH_SPC_000000000000000000100342&thumb=Y,http://www.mizgallery.com/,10:30 ~ 18:30,무료,연중무휴(명절제외),무료,,
55,유적지,거창신씨묘역,"3호선, 5호선",오금역,서울 송파구 오금동,,,,,,,,37.50198293,127.1306037
56,박물관/기념관,건국대학교 박물관,7호선,어린이대공원역,서울 광진구 화양동 1,02-450-3880,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ATH_SPC_000000000000000000100111&thumb=Y,http://museum.konkuk.ac.kr,화~금 11:00~16:00,무료,토일요일 공휴일 방학기간중,무료,,
57,공연장,건국대학교 새천년대공연장,"2호선, 7호선",건대입구역,서울 광진구 화양동 1,02-455-1896,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ATH_SPC_000000000000000000100110&thumb=Y,http://www.konkuk.ac.kr,,,,유료,,
58,미술관,겸재정선미술관,9호선,양천향교역,서울 강서구 가양동 243-1,02-2659-2206,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ATH_SPC_000000000000000000100917&thumb=Y,http://gjjs.or.kr/,,,매주월요일/1월1일/설날/추석당일,,37.57224821,126.8384398
59,유적지,경교장,5호선,서대문역,서울 종로구 새문안로 29,02-735-2038,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=1e961baf70764e79a523e1b5f26d6620&thumb=Y,https://museum.seoul.go.kr/www/intro/annexIntro/annex_21/annex_21_01.jsp?sso=ok,,0,공휴일을 제외한 매주 월요일 1월 1일,무료,37.56848731,126.9680109
60,박물관/기념관,경기여고 경운박물관,수인분당선,개포동역,서울 강남구 개포동 152,02-3463-1336,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ATH_SPC_000000000000000000100003&thumb=Y,http://kwmuseum.org,화~금 10:00~16:00토 10:00~13:00,무료,일요일 월요일공휴일,무료,,
61,유적지,경복궁,3호선,경복궁역,서울 종로구 사직로 161,02-3700-3900,,,,,,,37.57964036,126.9770396
62,기타,경의선 책거리,"2호선, 경의선, 공항철도",홍대입구역,서울 마포구 와우산로37길 35,02-324-6200,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=24eb0513a6634038b0ca2504f5522524&thumb=Y,http://gbookst.or.kr/,,0,매주 월요일,무료,,
63,미술관,경인미술관,3호선,안국역,서울 종로구 관훈동 30-1,02-733-4448,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ATH_SPC_000000000000000000100343&thumb=Y,http://www.kyunginart.co.kr/,10:00 ~ 19:00,,,유료,37.57442375,126.9854112
64,박물관/기념관,경찰박물관,3호선,독립문역,서울 종로구 신문로2가 58,02-735-2519,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ATH_SPC_000000000000000000100448&thumb=Y,www.policemuseum.go.kr,09:00~17:30,무료,월요일 신정설날 추석연휴,무료,37.57214431,126.9616501
65,미술관,경춘선숲길 갤러리,6호선,화랑대역,서울 노원구 화랑로 608,02-2289-3490~1,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=494d80ea19f3425c9f90dabdc8ff8cac&thumb=Y,www.nowonarts.kr,,0,휴관 : 매주 월요일 및 법정공휴일(일요일 제외),무료,37.62506,127.09372
66,공연장,경향아트힐 2층 썬앤문 전용관,5호선,서대문역,서울 중구 정동길 3,02-769-4799,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ATH_SPC_000000000000000000101426&thumb=Y,http://showsunnmoon.com/,,,연중무휴,,,
67,유적지,경희궁,5호선,광화문역,서울 종로구 새문안로 45,02-724-0274,,,,,,,37.57126023,126.9681748
68,박물관/기념관,경희대학교 자연사박물관,1호선,외대앞역,서울 동대문구 회기동 130-701,02-961-0141,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ATH_SPC_000000000000000000100156&thumb=Y,http://nhm.khu.ac.kr,월~토 10:00~16:00,무료,일요일공휴일개교기념일,무료,,
69,박물관/기념관,경희대학교 중앙박물관,"1호선, 경의선, 경춘선",회기역,서울 동대문구 경희대로6길 7-13,02-961-0141,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ATH_SPC_000000000000000000100155&thumb=Y,http://museum.khu.ac.kr,매주 화수목금10:00~17:00,무료,공휴일방학기간,무료,,
70,박물관/기념관,고려대학교 박물관,6호선,고려대역,서울 성북구 안암동5가 1-2,02-3290-1514,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ATH_SPC_000000000000000000100233&thumb=Y,http://museum.korea.ac.kr,10:00~17:00,무료,월요일 박물관규정에 정한 휴관일,무료,,
71,미술관,공갤러리,3호선,안국역,서울 종로구 인사동 23-2 2-2,02-730-1144,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ATH_SPC_000000000000000000100471&thumb=Y,,11:00 ~ 18:00,무료,,무료,,
72,유적지,공민왕신당,"1호선, 3호선, 5호선",종로3가역,서울 종로구 종로 157,,,,,,,,37.57273944,126.9950993
73,박물관/기념관,공평도시유적전시관,1호선,종각역,서울 종로구 우정국로 26,02-724-0215,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ATH_SPC_000000000000000000101548&thumb=Y,https://museum.seoul.go.kr/www/intro/annexIntro/annex_gongpyeong/annex_gongpyeong_01.jsp?sso=ok,,,,무료,37.57189,126.98333
74,박물관/기념관,관문사 성보박물관,3호선,양재역,서울 서초구 우면동  바우뫼로7길 111,02-3460-5300,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ATH_SPC_000000000000000000100217&thumb=Y,www.gwanmunsa.co.kr,10:00~17:00,무료,월요일 및 설추석 박물관 특별전준비기간,무료,,
75,기타,관악구민종합체육센터,2호선,낙성대역,서울 관악구 낙성대로3길 37,02-875-1188,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ATH_SPC_000000000000000000100829&thumb=Y,http://www.gwanakgongdan.or.kr,,,,무료,,
76,문화예술회관,관악문화재단,2호선,서울대입구역,서울 관악구 신림로3길 35,02-828-5700,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ba52ba445e7049d98065cceb9d85e34a&thumb=Y,www.gfac.or.kr,,0,시설별 휴관일 다름,무료,37.46755,126.94486
77,공연장,관악아트홀,2호선,서울대입구역,서울 관악구 신림로 3길 35,02-828-5854,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=fa71c280dacf4ecc805ae58baf88a1ea&thumb=Y,www.gfac.or.kr,,0,없음,무료,37.46755,126.94486
78,미술관,관훈갤러리,3호선,안국역,서울 종로구 관훈동 195,02-733-6469,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ATH_SPC_000000000000000000100344&thumb=Y,http://www.kwanhoongallery.com/,10:30~18:30,무료,무휴(명절제외),무료,,
79,유적지,광개토대왕릉비,"4호선, 6호선",삼각지역,서울 용산구 이태원로 29,,,,,,,,37.5366637,126.9771393
80,공연/전시장,광진교 8번가,5호선,광나루역,서울 강동구 천호2동 527-2,02-476-0722,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ATH_SPC_000000000000000000101545&thumb=Y,https://riverview8.co.kr,,,매주 월요일,무료,,
81,공연장,광진구민체육센터,5호선,광나루역,서울 광진구 구천면로 2,02-2049-4800,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ATH_SPC_000000000000000000100749&thumb=Y,http://www.gwangjin.or.kr,,,,무료,,
82,유적지,광평대군묘,3호선,일원역,서울 강남구 광평로31길 20,02-459-4733,,,,,,,37.48663254,127.092152
83,유적지,광화문,3호선,경복궁역,서울 종로구 효자로 12,02-3700-3901,,,,,,,37.57597039,126.9769112
84,문화예술회관,광화문아트홀,3호선,독립문역,서울 종로구 인왕산로1길 21,02-722-3416,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ATH_SPC_000000000000000000100854&thumb=Y,http://www.ghmarthall.co.kr,,,,무료,37.57429145,126.9646131
85,공연장,구로 꿈나무극장,7호선,남구로역,서울 구로구 구로동로26길 54,02-830-2561~2,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ATH_SPC_000000000000000000101156&thumb=Y,https://www.guroartsvalley.or.kr/dream?guroart_menu_cd=U0091,,,,,,
86,기타,구로구민체육센터,1호선,개봉역,서울 구로구 고척로45길 39,02-2681-9595,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ATH_SPC_000000000000000000100807&thumb=Y,http://guro-sc.or.kr/,,,,무료,,
87,공연장,구로구민회관 대강당,"2호선, 7호선",대림역,서울 구로구 구로동 102,02-860-2593,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ATH_SPC_000000000000000000100116&thumb=Y,,,,,유료,,
88,문화예술회관,구로아트밸리예술극장,"2호선, 7호선",대림역,서울 구로구 구로동 101,02-2029-1700~1,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ATH_SPC_000000000000000000100808&thumb=Y,http://www.guroartsvalley.or.kr,,,토일공휴일,무료,,
89,미술관,구슬모아당구장,1호선,종각역,서울 용산구 독서당로 85,02-3785-0667,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ATH_SPC_000000000000000000101031&thumb=Y,http://www.daelimmuseum.org/guseulmoa/index.do,,,,,,
90,문화원,국기원,"2호선, 신분당선",강남역,서울  강남구 역삼동 635,02-567-1058,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ATH_SPC_000000000000000000100046&thumb=Y,http://www.kukkiwon.or.kr,,,일요일 공휴일,유료,,
91,유적지,국립4.19민주묘지,우이신설경전철,4.19민주묘지역,서울 강북구 수유동,,,,,,,,37.64855018,127.0076728
92,박물관/기념관,국립고궁박물관,3호선,경복궁역,서울 종로구 세종로 1-57,02-3701-7500,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ATH_SPC_000000000000000000100431&thumb=Y,www.gogung.go.kr,평일 09:00~18:00주말 공휴일 09:00~19:00,일반 2000원청소년 1000원,월요일,유료,37.57663452,126.9749638
93,공연장,국립국악원,3호선,남부터미널역,서울 서초구 서초동  남부순환로 2364,02-580-3333,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ATH_SPC_000000000000000000100195&thumb=Y,http://www.gugak.go.kr,,,,유료,37.47778707,127.0083028
94,기타,국립국어원 우리말 꿈터,5호선,방화역,서울 강서구 방화동 827,02-2669-9687,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ATH_SPC_000000000000000000100914&thumb=Y,www.korean.go.kr,,,토ㆍ일요일 관공서의 공휴일,,,
95,공연장,국립극단 백성희장민호극장,"1호선, 4호선, 공항철도",서울역,서울 용산구 청파로 373,1644-2003,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ATH_SPC_000000000000000000101057&thumb=Y,http://www.ntck.or.kr/ko,,,,,,
96,공연장,국립극단 소극장 판,"1호선, 4호선, 공항철도",서울역,서울 용산구 청파로 373,1644-2003,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ATH_SPC_000000000000000000101035&thumb=Y,http://www.ntck.or.kr,,,,,,
97,공연장,국립극장,3호선,동대입구역,서울 중구 장충단로 59,02-2280-4114,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=fa3180c7f0644a7ea4c338440e107bd9&thumb=Y,https://www.ntok.go.kr,,공연에 따라 다름,공휴일,유료,37.55257365,126.9996203
